TIMESTAMP,Calendrier,HTA,sup36,inf36
1,HCH,13.4,29.4,14.7
2,HCH,13.4,29.4,14.7
3,HCH,13.4,29.4,14.7
4,HCH,13.4,29.4,14.7
5,HCH,13.4,29.4,14.7
6,HCH,13.4,29.4,14.7
7,P,28.5,43.7,14.7
8,P,28.5,43.7,14.7
9,HPH,21.4,43.7,14.7
10,HPH,21.4,43.7,14.7
11,HPH,21.4,43.7,14.7
12,HPH,21.4,43.7,14.7
13,HPH,21.4,43.7,14.7
14,HPH,21.4,43.7,14.7
15,HPH,21.4,43.7,14.7
16,HPH,21.4,43.7,14.7
17,HPH,21.4,43.7,14.7
18,HPH,21.4,43.7,14.7
19,P,28.5,43.7,14.7
20,P,28.5,43.7,14.7
21,HPH,21.4,43.7,14.7
22,HPH,21.4,43.7,14.7
23,HCH,13.4,29.4,14.7
24,HCH,13.4,29.4,14.7
25,HCH,13.4,29.4,14.7
26,HCH,13.4,29.4,14.7
27,HCH,13.4,29.4,14.7
28,HCH,13.4,29.4,14.7
29,HCH,13.4,29.4,14.7
30,HCH,13.4,29.4,14.7
31,P,28.5,43.7,14.7
32,P,28.5,43.7,14.7
33,HPH,21.4,43.7,14.7
34,HPH,21.4,43.7,14.7
35,HPH,21.4,43.7,14.7
36,HPH,21.4,43.7,14.7
37,HPH,21.4,43.7,14.7
38,HPH,21.4,43.7,14.7
39,HPH,21.4,43.7,14.7
40,HPH,21.4,43.7,14.7
41,HPH,21.4,43.7,14.7
42,HPH,21.4,43.7,14.7
43,P,28.5,43.7,14.7
44,P,28.5,43.7,14.7
45,HPH,21.4,43.7,14.7
46,HPH,21.4,43.7,14.7
47,HCH,13.4,29.4,14.7
48,HCH,13.4,29.4,14.7
49,HCH,13.4,29.4,14.7
50,HCH,13.4,29.4,14.7
51,HCH,13.4,29.4,14.7
52,HCH,13.4,29.4,14.7
53,HCH,13.4,29.4,14.7
54,HCH,13.4,29.4,14.7
55,P,28.5,43.7,14.7
56,P,28.5,43.7,14.7
57,HPH,21.4,43.7,14.7
58,HPH,21.4,43.7,14.7
59,HPH,21.4,43.7,14.7
60,HPH,21.4,43.7,14.7
61,HPH,21.4,43.7,14.7
62,HPH,21.4,43.7,14.7
