,YEAR_op,RESOURCES,AREA,importCosts_Pvar
0,2040,biogas,Nice,0.0
1,2040,biogas,Marseille,0.0
2,2040,biogas,Alpin,0.0
3,2040,gas,Nice,0.0
4,2040,gas,Marseille,0.0
5,2040,gas,Alpin,0.0
6,2040,electricity,Nice,0.0
7,2040,electricity,Marseille,100822948.7092801
8,2040,electricity,Alpin,30928915.16374606
9,2040,hydrogen,Nice,0.0
10,2040,hydrogen,Marseille,0.0
11,2040,hydrogen,Alpin,0.0
12,2040,natural gas,Nice,0.0
13,2040,natural gas,Marseille,0.0
14,2040,natural gas,Alpin,0.0
15,2050,biogas,Nice,0.0
16,2050,biogas,Marseille,0.0
17,2050,biogas,Alpin,0.0
18,2050,gas,Nice,0.0
19,2050,gas,Marseille,0.0
20,2050,gas,Alpin,0.0
21,2050,electricity,Nice,-3.477470042946467e-26
22,2050,electricity,Marseille,87316648.68071751
23,2050,electricity,Alpin,30991253.649017733
24,2050,hydrogen,Nice,0.0
25,2050,hydrogen,Marseille,0.0
26,2050,hydrogen,Alpin,0.0
27,2050,natural gas,Nice,0.0
28,2050,natural gas,Marseille,0.0
29,2050,natural gas,Alpin,0.0
30,2030,biogas,Nice,0.0
31,2030,biogas,Marseille,0.0
32,2030,biogas,Alpin,0.0
33,2030,gas,Nice,0.0
34,2030,gas,Marseille,0.0
35,2030,gas,Alpin,0.0
36,2030,electricity,Nice,0.0
37,2030,electricity,Marseille,124807867.31220593
38,2030,electricity,Alpin,19471076.80268787
39,2030,hydrogen,Nice,0.0
40,2030,hydrogen,Marseille,0.0
41,2030,hydrogen,Alpin,0.0
42,2030,natural gas,Nice,151672499.58159167
43,2030,natural gas,Marseille,22853566.78172528
44,2030,natural gas,Alpin,-1.0982793826552689e-10
