,YEAR_invest,TECHNOLOGIES,AREA,capacityInvest_Dvar
0,2040,Existing SMR,Marseille,0.0
1,2040,Existing SMR,Nice,0.0
2,2040,Existing SMR,Alpin,0.0
3,2040,ElectrolysisS,Marseille,0.0
4,2040,ElectrolysisS,Nice,0.0
5,2040,ElectrolysisS,Alpin,1.0
6,2040,CCS2,Marseille,0.0
7,2040,CCS2,Nice,0.0
8,2040,CCS2,Alpin,0.0
9,2040,SMR + CCS1,Marseille,0.0
10,2040,SMR + CCS1,Nice,0.0
11,2040,SMR + CCS1,Alpin,0.0
12,2040,ElectrolysisL,Marseille,9.0
13,2040,ElectrolysisL,Nice,2.999999999999999
14,2040,ElectrolysisL,Alpin,1.0
15,2040,SMR + CCS2,Marseille,0.0
16,2040,SMR + CCS2,Nice,0.0
17,2040,SMR + CCS2,Alpin,0.0
18,2040,Ground PV,Marseille,360.0
19,2040,Ground PV,Nice,0.0
20,2040,Ground PV,Alpin,54.0
21,2040,ElectrolysisM,Marseille,0.0
22,2040,ElectrolysisM,Nice,0.0
23,2040,ElectrolysisM,Alpin,3.0
24,2040,Offshore wind - floating,Marseille,0.0
25,2040,Offshore wind - floating,Nice,0.0
26,2040,Offshore wind - floating,Alpin,0.0
27,2040,SMR,Marseille,0.0
28,2040,SMR,Nice,0.0
29,2040,SMR,Alpin,0.0
30,2040,CCS1,Marseille,0.0
31,2040,CCS1,Nice,0.0
32,2040,CCS1,Alpin,0.0
33,2040,Onshore wind,Marseille,0.0
34,2040,Onshore wind,Nice,0.0
35,2040,Onshore wind,Alpin,0.0
36,2020,Existing SMR,Marseille,1.0
37,2020,Existing SMR,Nice,0.0
38,2020,Existing SMR,Alpin,0.0
39,2020,ElectrolysisS,Marseille,0.0
40,2020,ElectrolysisS,Nice,0.0
41,2020,ElectrolysisS,Alpin,0.0
42,2020,CCS2,Marseille,0.0
43,2020,CCS2,Nice,0.0
44,2020,CCS2,Alpin,0.0
45,2020,SMR + CCS1,Marseille,0.0
46,2020,SMR + CCS1,Nice,0.0
47,2020,SMR + CCS1,Alpin,0.0
48,2020,ElectrolysisL,Marseille,9.0
49,2020,ElectrolysisL,Nice,3.0
50,2020,ElectrolysisL,Alpin,1.0
51,2020,SMR + CCS2,Marseille,0.0
52,2020,SMR + CCS2,Nice,0.0
53,2020,SMR + CCS2,Alpin,0.0
54,2020,Ground PV,Marseille,2.0
55,2020,Ground PV,Nice,0.0
56,2020,Ground PV,Alpin,6.0
57,2020,ElectrolysisM,Marseille,0.0
58,2020,ElectrolysisM,Nice,0.0
59,2020,ElectrolysisM,Alpin,4.0
60,2020,Offshore wind - floating,Marseille,0.0
61,2020,Offshore wind - floating,Nice,0.0
62,2020,Offshore wind - floating,Alpin,0.0
63,2020,SMR,Marseille,0.0
64,2020,SMR,Nice,0.0
65,2020,SMR,Alpin,0.0
66,2020,CCS1,Marseille,0.0
67,2020,CCS1,Nice,0.0
68,2020,CCS1,Alpin,0.0
69,2020,Onshore wind,Marseille,350.0
70,2020,Onshore wind,Nice,0.0
71,2020,Onshore wind,Alpin,52.0
72,2030,Existing SMR,Marseille,0.0
73,2030,Existing SMR,Nice,0.0
74,2030,Existing SMR,Alpin,0.0
75,2030,ElectrolysisS,Marseille,0.0
76,2030,ElectrolysisS,Nice,0.0
77,2030,ElectrolysisS,Alpin,0.0
78,2030,CCS2,Marseille,0.0
79,2030,CCS2,Nice,0.0
80,2030,CCS2,Alpin,0.0
81,2030,SMR + CCS1,Marseille,0.0
82,2030,SMR + CCS1,Nice,0.0
83,2030,SMR + CCS1,Alpin,0.0
84,2030,ElectrolysisL,Marseille,0.0
85,2030,ElectrolysisL,Nice,0.0
86,2030,ElectrolysisL,Alpin,0.0
87,2030,SMR + CCS2,Marseille,0.0
88,2030,SMR + CCS2,Nice,0.0
89,2030,SMR + CCS2,Alpin,0.0
90,2030,Ground PV,Marseille,786.0
91,2030,Ground PV,Nice,0.0
92,2030,Ground PV,Alpin,106.0
93,2030,ElectrolysisM,Marseille,2.0
94,2030,ElectrolysisM,Nice,0.0
95,2030,ElectrolysisM,Alpin,0.0
96,2030,Offshore wind - floating,Marseille,0.0
97,2030,Offshore wind - floating,Nice,0.0
98,2030,Offshore wind - floating,Alpin,0.0
99,2030,SMR,Marseille,0.0
100,2030,SMR,Nice,0.0
101,2030,SMR,Alpin,0.0
102,2030,CCS1,Marseille,0.0
103,2030,CCS1,Nice,0.0
104,2030,CCS1,Alpin,0.0
105,2030,Onshore wind,Marseille,1.0
106,2030,Onshore wind,Nice,101.0
107,2030,Onshore wind,Alpin,0.0
