,YEAR_op,HORAIRE,AREA,max_PS_Dvar
0,2040,HPE,Marseille,906.1980981980728
1,2040,HPE,Nice,0.0
2,2040,HPE,Alpin,391.667462539796
3,2040,HPH,Marseille,905.2818850040728
4,2040,HPH,Nice,0.0
5,2040,HPH,Alpin,391.270697851796
6,2040,HCE,Marseille,910.0920037460728
7,2040,HCE,Nice,0.0
8,2040,HCE,Alpin,393.353712235796
9,2040,P,Marseille,0.0
10,2040,P,Nice,0.0
11,2040,P,Alpin,0.0
12,2040,HCH,Marseille,897.2650221890727
13,2040,HCH,Nice,0.0
14,2040,HCH,Alpin,387.799007971796
15,2050,HPE,Marseille,894.0273921917503
16,2050,HPE,Nice,0.0
17,2050,HPE,Alpin,386.70755684943873
18,2050,HPH,Marseille,893.1111789977504
19,2050,HPH,Nice,0.0
20,2050,HPH,Alpin,386.31079216143877
21,2050,HCE,Marseille,897.9212977397503
22,2050,HCE,Nice,0.0
23,2050,HCE,Alpin,388.39380654543874
24,2050,P,Marseille,0.0
25,2050,P,Nice,0.0
26,2050,P,Alpin,0.0
27,2050,HCH,Marseille,885.0943161827503
28,2050,HCH,Nice,0.0
29,2050,HCH,Alpin,382.8391022814387
30,2030,HPE,Marseille,892.5132953399998
31,2030,HPE,Nice,0.0
32,2030,HPE,Alpin,99.23648912200001
33,2030,HPH,Marseille,887.4379575
34,2030,HPH,Nice,0.0
35,2030,HPH,Alpin,98.60022955000001
36,2030,HCE,Marseille,895.88878695
37,2030,HCE,Nice,0.0
38,2030,HCE,Alpin,99.54189340300002
39,2030,P,Marseille,0.0
40,2030,P,Nice,0.0
41,2030,P,Alpin,0.0
42,2030,HCH,Marseille,883.0983495
43,2030,HCH,Nice,0.0
44,2030,HCH,Alpin,98.11667323000002
