,YEAR_invest,TECHNOLOGIES,TECHNOLOGIES,AREA,transInvest_Dvar
0,2040,Offshore wind - floating,Offshore wind - floating,Marseille,0.0
1,2040,Offshore wind - floating,Offshore wind - floating,Nice,0.0
2,2040,Offshore wind - floating,Offshore wind - floating,Alpin,0.0
3,2040,Offshore wind - floating,ElectrolysisM,Marseille,0.0
4,2040,Offshore wind - floating,ElectrolysisM,Nice,0.0
5,2040,Offshore wind - floating,ElectrolysisM,Alpin,0.0
6,2040,Offshore wind - floating,CCS2,Marseille,0.0
7,2040,Offshore wind - floating,CCS2,Nice,0.0
8,2040,Offshore wind - floating,CCS2,Alpin,0.0
9,2040,Offshore wind - floating,Ground PV,Marseille,0.0
10,2040,Offshore wind - floating,Ground PV,Nice,0.0
11,2040,Offshore wind - floating,Ground PV,Alpin,0.0
12,2040,Offshore wind - floating,SMR,Marseille,0.0
13,2040,Offshore wind - floating,SMR,Nice,0.0
14,2040,Offshore wind - floating,SMR,Alpin,0.0
15,2040,Offshore wind - floating,SMR + CCS1,Marseille,0.0
16,2040,Offshore wind - floating,SMR + CCS1,Nice,0.0
17,2040,Offshore wind - floating,SMR + CCS1,Alpin,0.0
18,2040,Offshore wind - floating,CCS1,Marseille,0.0
19,2040,Offshore wind - floating,CCS1,Nice,0.0
20,2040,Offshore wind - floating,CCS1,Alpin,0.0
21,2040,Offshore wind - floating,ElectrolysisS,Marseille,0.0
22,2040,Offshore wind - floating,ElectrolysisS,Nice,0.0
23,2040,Offshore wind - floating,ElectrolysisS,Alpin,0.0
24,2040,Offshore wind - floating,Existing SMR,Marseille,0.0
25,2040,Offshore wind - floating,Existing SMR,Nice,0.0
26,2040,Offshore wind - floating,Existing SMR,Alpin,0.0
27,2040,Offshore wind - floating,ElectrolysisL,Marseille,0.0
28,2040,Offshore wind - floating,ElectrolysisL,Nice,0.0
29,2040,Offshore wind - floating,ElectrolysisL,Alpin,0.0
30,2040,Offshore wind - floating,SMR + CCS2,Marseille,0.0
31,2040,Offshore wind - floating,SMR + CCS2,Nice,0.0
32,2040,Offshore wind - floating,SMR + CCS2,Alpin,0.0
33,2040,Offshore wind - floating,Onshore wind,Marseille,0.0
34,2040,Offshore wind - floating,Onshore wind,Nice,0.0
35,2040,Offshore wind - floating,Onshore wind,Alpin,0.0
36,2040,ElectrolysisM,Offshore wind - floating,Marseille,0.0
37,2040,ElectrolysisM,Offshore wind - floating,Nice,0.0
38,2040,ElectrolysisM,Offshore wind - floating,Alpin,0.0
39,2040,ElectrolysisM,ElectrolysisM,Marseille,0.0
40,2040,ElectrolysisM,ElectrolysisM,Nice,0.0
41,2040,ElectrolysisM,ElectrolysisM,Alpin,0.0
42,2040,ElectrolysisM,CCS2,Marseille,0.0
43,2040,ElectrolysisM,CCS2,Nice,0.0
44,2040,ElectrolysisM,CCS2,Alpin,0.0
45,2040,ElectrolysisM,Ground PV,Marseille,0.0
46,2040,ElectrolysisM,Ground PV,Nice,0.0
47,2040,ElectrolysisM,Ground PV,Alpin,0.0
48,2040,ElectrolysisM,SMR,Marseille,0.0
49,2040,ElectrolysisM,SMR,Nice,0.0
50,2040,ElectrolysisM,SMR,Alpin,0.0
51,2040,ElectrolysisM,SMR + CCS1,Marseille,0.0
52,2040,ElectrolysisM,SMR + CCS1,Nice,0.0
53,2040,ElectrolysisM,SMR + CCS1,Alpin,0.0
54,2040,ElectrolysisM,CCS1,Marseille,0.0
55,2040,ElectrolysisM,CCS1,Nice,0.0
56,2040,ElectrolysisM,CCS1,Alpin,0.0
57,2040,ElectrolysisM,ElectrolysisS,Marseille,0.0
